mfc,I_coil,n_e,n_g,n_i,Te,Tg,total_pressure,neutral_pressure,R_ind,Pd,P_RF,J_i,Thrust_i,Thrust_g,Total_Thrust,Ions_Power,Neutrals_Power,Total_Power,gamma,zeta,eta_mass,eta_thruster,IONIZATION,E_IONIZATION,ELASTIC,E_ELASTIC,EXCITATION1,E_EXCITATION1,EXCITATION2,E_EXCITATION2,EXCITATION3,E_EXCITATION3,EXCITATION4,E_EXCITATION4,hL,hR,A_eff_loss,A_eff_wall,A_eff_open,A_n
200,15.0,2.939619491330765e+18,2.173101657885053e+20,2.939619491330765e+18,2.263449236096131,0.06741748029698671,3.415744337021023,2.347269489734293,5.4770920947776,616.1728606624799,1066.17286066248,153.95614669138348,0.05079884117533079,0.005070102097826073,0.05586894327315686,1218.8420985400198,1.1270720077376333,2286.1420312102373,0.5336366480703434,0.7325163346059483,0.0849428536473342,0.04532861969789317,7.425082517649625e-17,13.996,9.319762898441929e-14,4.3944994692465085e-05,1.195887429213287e-16,9.915,4.2040525325588095e-17,11.3,6.485776060680869e-17,11.998,2.474449807574288e-17,12.75,0.20248903119881065,0.1783597046634707,0.011304196434902682,0.009701128541729004,0.0016030678931736788,0.05692565888304705
190,15.0,2.844127133721213e+18,2.084959834360345e+20,2.844127133721213e+18,2.2885067367306817,0.06550986771101029,3.233524110387759,2.18834005209736,5.413982484611453,609.0730295187884,1059.0730295187884,153.27724338484373,0.05057483257298866,0.004726814512530299,0.055301647085518955,1213.4673476864057,1.035787395477237,2273.5761646006713,0.5341818558760256,0.7302394490206549,0.08901924163477794,0.047552463705142045,7.950803347255995e-17,13.996,9.449224279384251e-14,4.443710815887596e-05,1.2553182498437548e-16,9.915,4.4329404501269964e-17,11.3,6.863686896264143e-17,11.998,2.6434500965300043e-17,12.75,0.20722089515028566,0.18203718064823246,0.011549866254352177,0.009909337076828593,0.0016405291775235843,0.05692565888304705
180,15.0,2.746360357996108e+18,1.994948877163081e+20,2.746360357996107e+18,2.3149433967722235,0.06359289436049519,3.0534829782323976,2.032594548634551,5.344357867823154,601.2402601301048,1051.2402601301048,152.49290498579367,0.05031603496979242,0.004390404225050631,0.054706439194843054,1207.2578868703981,0.9478890446188231,2259.446036045122,0.5347353982526754,0.7276821151700231,0.09348392591611551,0.049989164354977626,8.546974522289924e-17,13.996,9.584819763894173e-14,4.49563074438769e-05,1.3203159705959114e-16,9.915,4.6848472103624676e-17,11.3,7.282318025124684e-17,11.998,2.834259378816638e-17,12.75,0.21227697750873073,0.18595997062432548,0.01181211784098911,0.010131560602458572,0.001680557238530539,0.05692565888304705
170,15.0,2.647875198859336e+18,1.903912028407814e+20,2.647875198859336e+18,2.3373052094790014,0.061618430719477646,2.873376497573286,1.8796106841927902,5.251593486163364,590.8042671933785,1040.8042671933786,151.43066499849584,0.049965541913396326,0.004059959077856427,0.05402550099125275,1198.8483310124786,0.8628308671375271,2240.5154290729947,0.5354621290762511,0.724198549764798,0.09829348155011403,0.052632436905141265,9.208993339407111e-17,13.996,9.695748068830405e-14,4.539547930410583e-05,1.3840184437474047e-16,9.915,4.937521178224081e-17,11.3,7.71211140795796e-17,11.998,3.0431804924471034e-17,12.75,0.2175903203693728,0.19008558150896615,0.012087834691208575,0.010365212708257604,0.0017226219829509712,0.05692565888304705
160,15.5,2.639258582346038e+18,1.7878367454809997e+20,2.639258582346038e+18,2.370116172561263,0.06053453352499948,2.7383757407143845,1.7339694954444291,5.024586569361041,603.5784616444951,1084.078461644495,157.02437726099475,0.05181122399176628,0.0037453741101599663,0.055556598101926244,1243.1327076948862,0.7889427770702082,2328.0001121164514,0.5343305801394793,0.715285735288202,0.10829462628960246,0.05786513049131139,1.0180358016010925e-16,13.996,9.858510567817674e-14,4.6039865869796555e-05,1.4774875878740284e-16,9.915,5.308263762470977e-17,11.3,8.342737153824643e-17,11.998,3.3497255403070393e-17,12.75,0.22479222595301218,0.19566062853470634,0.012460912279010913,0.010681274152802952,0.0017796381262079612,0.05692565888304705
150,15.5,2.5281873133736755e+18,1.6925936244673973e+20,2.5281873133736755e+18,2.4014197856308543,0.058536460475587644,2.5622280039208953,1.5874116118052324,4.9329058868737645,592.565319660711,1073.0653196607109,155.65115055779088,0.05135811882712735,0.0034288090814993018,0.054786927908626645,1232.2611280101896,0.7102401730114378,2306.0366878439117,0.5346711848439841,0.7115206765194019,0.11450406007171204,0.06122202146798901,1.1107097773988757e-16,13.996,1.0013795686324051e-13,4.665464903446783e-05,1.5666627185871995e-16,9.915,5.661974270040914e-17,11.3,8.944391676760777e-17,11.998,3.6421877744252034e-17,12.75,0.23109471460858355,0.20052444898103092,0.012786832924831218,0.010957299171432873,0.001829533753398345,0.05692565888304705
140,15.5,2.4122741260783483e+18,1.5944730871443623e+20,2.4122741260783483e+18,2.4387796905571544,0.05655782195292476,2.3894035562695044,1.4448416864511608,4.840728720618273,581.49253756427,1061.9925375642702,154.1358938578214,0.05085814993276482,0.003120858042734508,0.05397900797549933,1220.2651233315341,0.6354319578026213,2282.893092853607,0.5348040865826161,0.7076334873546575,0.12148860897949948,0.06497260455547384,1.2213133335203482e-16,13.996,1.0199123726603944e-13,4.7388373941281234e-05,1.6730905100957388e-16,9.915,6.084116944270522e-17,11.3,9.66244795114041e-17,11.998,3.9912325072775233e-17,12.75,0.23799717894890798,0.20583639873589643,0.01314321877783995,0.011259039501658267,0.0018841792761816814,0.05692565888304705
130,15.5,2.2916984967935224e+18,1.4934602536312832e+20,2.2916984967935224e+18,2.481948492148332,0.05459272010157141,2.219486576035268,1.3062875762358557,4.743648792202563,569.8308111633329,1050.3308111633328,152.42083496644094,0.050292254993836404,0.0028215811646694483,0.05311383615850585,1206.6873219691745,0.5644280841337636,2257.582561216641,0.5347541971633164,0.703424650122271,0.12937810744362577,0.0691854859765254,1.3544792611301587e-16,13.996,1.0412090946888775e-13,4.823618190511884e-05,1.7985109827310706e-16,9.915,6.58328347004281e-17,11.3,1.0514821408059016e-16,11.998,4.410409340669856e-17,12.75,0.2455678126059754,0.21164923923959067,0.013533601401091142,0.011589486830267701,0.0019441145708234391,0.05692565888304705
120,16.0,2.2445711118279872e+18,1.3724285197238868e+20,2.2445711118279877e+18,2.5282325813269995,0.05324693439075579,2.0818967130869046,1.1708324136667774,4.496645018590754,575.5705623796165,1087.5705623796166,156.6101988036549,0.0516745630910825,0.0025289980135202394,0.05420356110460274,1239.853734097774,0.49962538165795517,2327.9239218590483,0.5328152470244399,0.6921487946044744,0.14401197443283917,0.07673177573191053,1.542470849018788e-16,13.996,1.0630511860827386e-13,4.914517214710563e-05,1.9535860464731662e-16,9.915,7.214438173283727e-17,11.3,1.161976305208005e-16,11.998,4.993505776299992e-17,12.75,0.25524610717754787,0.2190818475366624,0.01403272199827061,0.012011986174451338,0.0020207358238192707,0.05692565888304705
110,16.0,2.1097797019015304e+18,1.2671508686422891e+20,2.1097797019015306e+18,2.5776978318976513,0.05121445769309577,1.9128290048961807,1.0397556709225295,4.3697832530566885,559.3322563912561,1071.3322563912561,153.955600345757,0.0507986609050051,0.0022458722491926647,0.053044533154197764,1218.8377732235958,0.4351410329647114,2290.6051706478165,0.5322929197403901,0.6860175738255688,0.15444100401787306,0.08220785295631096,1.7433833259650066e-16,13.996,1.086394510818237e-13,5.01166383871041e-05,2.1193196067826578e-16,9.915,7.888972902143571e-17,11.3,1.2800648670817465e-16,11.998,5.616679134729015e-17,12.75,0.2643768028049178,0.2260724317574746,0.014502792284056251,0.012409770445948104,0.0020930218381081476,0.05692565888304705
100,16.0,1.9672632832278175e+18,1.1580534826591425e+20,1.9672632832278177e+18,2.6411699715803825,0.04923311753463506,1.747577034090673,0.9134743303738098,4.241913650626672,542.964947280214,1054.964947280214,150.95127469023828,0.04980736393444895,0.001973104553607429,0.051780468488056376,1195.053087354506,0.37482406616301966,2250.392858700883,0.5312085428989368,0.6795854425510668,0.16656992668950818,0.08848336804751637,2.0011874339724967e-16,13.996,1.1163478770941171e-13,5.1363191071481366e-05,2.3319833165329057e-16,9.915,8.754513095251318e-17,11.3,1.431592123240639e-16,11.998,6.416314151158738e-17,12.75,0.2746357629816011,0.23390434251972933,0.015030100576084171,0.012855860463686187,0.0021742401123979846,0.05692565888304705
90,16.5,1.879366130596619e+18,1.0314623360999717e+20,1.8793661305966188e+18,2.7144858349425833,0.04775011700944567,1.6080222360389327,0.7891112013462065,3.975752943680114,541.1993694584555,1085.6993694584555,153.0999275638195,0.05051632605393333,0.0017044801949078062,0.05222080624884114,1212.0635714030545,0.3188804393430374,2298.0818213008533,0.5275627876278642,0.6653141421927129,0.18771210749079903,0.09902992269934723,2.3787770746459587e-16,13.996,1.1493556694156253e-13,5.2803068263875024e-05,2.607620514454304e-16,9.915,9.896979316667127e-17,11.3,1.63625143393975e-16,11.998,7.571614563063331e-17,12.75,0.28760787079392197,0.24380187768857964,0.01569665102733974,0.013419713156857756,0.002276937870481985,0.05692565888304705
80,17.0,1.769518298473975e+18,9.032243290781036e+19,1.7695182984739748e+18,2.809744862874487,0.04623597222798234,1.467145150698691,0.6690922739466044,3.7141705189600662,536.6976399897296,1114.6976399897296,154.1163118162818,0.05085168870962151,0.0014452393117246653,0.05229692802134618,1220.1100959609694,0.26605931195469285,2335.0737952626537,0.5226285172437789,0.6499929441440637,0.2125780555147205,0.11109935395222409,2.895865099884943e-16,13.996,1.1917145215847612e-13,5.467389533183334e-05,2.975709433958738e-16,9.915,1.1428741640799661e-16,11.3,1.9119995812555572e-16,11.998,9.149578790646777e-17,12.75,0.30223243754123136,0.2549283059659663,0.016446907397860942,0.01405418956011165,0.002392717837749292,0.05692565888304705
70,17.5,1.638300618790464e+18,7.743641682845624e+19,1.638300618790464e+18,2.9210488823143668,0.044649626085448736,1.3220429976642791,0.5539537018275077,3.432870670176019,525.6583213707029,1138.1583213707029,153.4064627106957,0.05061746933775451,0.0011965399959474167,0.05181400933370193,1214.4903529880978,0.21646357836754987,2352.865137937168,0.5162670809222144,0.6318704932589161,0.24182735502710634,0.12484750266698418,3.6205767252845873e-16,13.996,1.2390313809008313e-13,5.685983588635526e-05,3.4431243251636563e-16,9.915,1.3399021896267278e-16,11.3,2.273389554402803e-16,11.998,1.1337019565585893e-16,12.75,0.31868499512233234,0.26742273219689444,0.01729008425476854,0.014767114587264783,0.002522969667503758,0.05692565888304705
60,18.5,1.519390198248434e+18,6.336401157853369e+19,1.5193901982484342e+18,3.0827284215307387,0.043439121812934293,1.192693769171489,0.44099543630863103,3.0654058614943116,524.567578048214,1209.067578048214,155.5583753271552,0.05132750703079866,0.0009525501424266431,0.0522800571732253,1231.5266438130293,0.1699718748960071,2440.7641937361395,0.5046356460197559,0.605164905895617,0.2860895259894844,0.1443709727671892,4.821233374496527e-16,13.996,1.3051869737086846e-13,6.003511979243544e-05,4.1648022111584096e-16,9.915,1.6468365431741316e-16,11.3,2.84411000973893e-16,11.998,1.4933569675811252e-16,12.75,0.33918560493761246,0.2829474675802505,0.01833906585968639,0.01565379668790435,0.002685269171782041,0.05692565888304705
50,19.5,1.357934119012049e+18,4.965976376965901e+19,1.357934119012049e+18,3.293855052676485,0.042124657699988195,1.0529132499096105,0.335159418227697,2.686723945961059,510.8133902258463,1271.3133902258464,153.52852199678404,0.050657743600401546,0.0007239443433718257,0.051381687943773374,1215.4566735904211,0.12721023994453054,2486.897274056212,0.4887953742647793,0.5732626834734811,0.3388276741118057,0.16561739977874473,6.769352609385068e-16,13.996,1.3854181585594255e-13,6.41815133142827e-05,5.201914568777025e-16,9.915,2.0939732961971143e-16,11.3,3.6955092912133077e-16,11.998,2.069342405315163e-16,12.75,0.3623590347344147,0.3004443322340435,0.019522852750191333,0.016654123856852845,0.0028687288933384853,0.05692565888304705
40,21.5,1.1927173323594107e+18,3.5075322974141166e+19,1.1927173323594107e+18,3.628294400445364,0.041300031623723775,0.9264290417850666,0.23209322148898878,2.1790065084067516,503.62287925551044,1428.1228792555105,152.9718424716461,0.05047406353701488,0.0005013213584162159,0.05097538489543109,1211.0495456178467,0.08722482367577457,2639.2596496970327,0.45889261807967696,0.5214173521920402,0.42199889729895834,0.19365217880825572,1.0828146253082002e-15,13.996,1.4984420779765505e-13,7.074969060918026e-05,7.035092400245663e-16,9.915,2.8956673831110844e-16,11.3,5.272551099202475e-16,11.998,3.248166536287128e-16,12.75,0.3916550000909319,0.3224714124054364,0.02101591323386487,0.017915253646875868,0.003100659586989001,0.05692565888304705
30,26.0,9.963486690244453e+17,1.9866227858045985e+19,9.963486690244453e+17,4.322455285753515,0.041501694984565636,0.8229279019447712,0.13209660023281092,1.5100435900359233,510.39473343214206,1862.394733432142,152.91030459341667,0.050453758710155894,0.0002853286565028716,0.05073908736665877,1210.5623617135154,0.04976534382310735,3073.0068604894805,0.3939503496144189,0.4302065063586486,0.5624388460992326,0.221572980057523,2.2768346909515957e-15,13.996,1.6889877607287412e-13,8.43825714179236e-05,1.132235244029277e-15,9.915,4.792406935366012e-16,11.3,9.182246383423259e-16,11.998,6.630126149687293e-16,12.75,0.429379317351635,0.3506394914912539,0.022931128751094744,0.019531812780426597,0.003399315970668148,0.05692565888304705
20,49.5,6.616405032050771e+17,4.700419337097328e+18,6.616405032050781e+17,7.718201685245438,0.04765890005980412,0.8546196698228494,0.03589145072984553,0.5191818424346885,636.0626547127977,5536.562654712798,151.08475776860726,0.04985140755234524,7.752553357646635e-05,0.04992893308592171,1196.10984798963,0.014489902784735883,6732.686992605212,0.17765928212705678,0.20609145147415003,0.8335861050879373,0.14809430902101225,1.4236771796029144e-14,13.996,2.044765744567999e-13,0.0001510728832761181,3.423767677494534e-15,9.915,1.4541586553406972e-15,11.3,3.225660319030255e-15,11.998,3.801421994329095e-15,12.75,0.4781030071375374,0.38658407020954755,0.02538831134273569,0.021603259007631853,0.003785052335103839,0.05692565888304705
