mfc,I_coil,n_e,n_g,n_i,Te,Tg,total_pressure,neutral_pressure,R_ind,Pd,P_RF,J_i,Thrust_i,Thrust_g,Total_Thrust,Ions_Power,Neutrals_Power,Total_Power,gamma,zeta,eta_mass,eta_thruster,IONIZATION,E_IONIZATION,ELASTIC,E_ELASTIC,EXCITATION1,E_EXCITATION1,EXCITATION2,E_EXCITATION2,EXCITATION3,E_EXCITATION3,EXCITATION4,E_EXCITATION4,hL,hR,A_eff_loss,A_eff_wall,A_eff_open,A_n,E_cost
200,14.0,4.3211649444179533e+18,2.2864461343072043e+20,4.321164944417953e+18,1.7786119173460044,0.09574867806565751,4.742516860993735,3.5075522957108194,7.2820987561500745,713.6456781027073,1105.6456781027073,151.0416653453611,0.06238099742669288,0.007576312958735371,0.06995731038542825,1195.7686933120851,1.6035194163890047,2303.0178908311814,0.5199144207674092,0.7845314887783486,0.08333483495010527,0.04332698244283163,4.7473873659696125e-17,12.13,1.4305590297600804e-13,2.1970604895532695e-05,8.434876702169437e-17,8.315,7.338409094879834e-17,9.447,1.0647778533363913e-16,9.917,7.342176232454127e-18,11.7,0.19082491004202579,0.17033984724536602,0.010738018728307513,0.009227293506822411,0.0015107252214851025,0.05692565888304705,65.55861175041377
190,14.5,4.3584106328169226e+18,2.168401708165161e+20,4.3584106328169226e+18,1.7985028421310412,0.09430786038542736,4.535907260837166,3.2764083671676762,6.976005750501549,733.3526045214753,1153.8526045214753,158.0950850217319,0.06529409662799604,0.007077042073082181,0.07237113870107822,1251.6093013357752,1.4865367392045972,2406.948442596455,0.5206159865739475,0.7771837434609211,0.09181731262927922,0.04780156079906077,5.1830510189539674e-17,12.13,1.4490326089431203e-13,2.2219934906494647e-05,8.93877353736634e-17,8.315,7.827101798108927e-17,9.447,1.1405526983445235e-16,9.917,8.02486581218257e-18,11.7,0.19693114360921155,0.17512040547899754,0.01105636127714311,0.009497294143398255,0.0015590671337448534,0.05692565888304705,64.37070451069216
180,14.5,4.219461003542924e+18,2.0790308304106547e+20,4.2194610035429243e+18,1.81555525873026,0.09110484244029896,4.265552217730004,3.0346791773181985,6.873932560168786,722.6221603877436,1143.1221603877436,157.60235190273613,0.06509059527386413,0.006554907023007309,0.07164550229687143,1247.7084251337951,1.3532785254062032,2392.183864046945,0.5221428513216865,0.7746207798583992,0.09661621037945019,0.05044746357142204,5.556543864968617e-17,12.13,1.464869940375032e-13,2.2433684607102304e-05,9.370762439323751e-17,8.315,8.246056253697125e-17,9.447,1.2055141940408895e-16,9.917,8.61013307588629e-18,11.7,0.20182767855459888,0.17893840907966488,0.011311053633031757,0.009713221545391467,0.0015978320876402893,0.05692565888304705,63.50061604661477
170,14.5,4.074926090865022e+18,1.9872999963336655e+20,4.0749260908650214e+18,1.8351766636752422,0.08789470606277777,4.000092986208663,2.798572379731705,6.770704238494731,711.7702830717586,1132.2702830717585,157.0368645756345,0.06485704605142874,0.006044916340220483,0.07090196239164923,1243.231567435843,1.2258055333610147,2376.7276560409628,0.5236011664214656,0.7719681401155937,0.101932459657403,0.05337195477282519,5.986304323438949e-17,12.13,1.4830932045948186e-13,2.2679636223876884e-05,9.867831527902841e-17,8.315,8.728127224621989e-17,9.447,1.280262298244989e-16,9.917,9.28357228700072e-18,11.7,0.20712030856451405,0.1830505410585206,0.011585793826828825,0.009946060974544094,0.0016397328522847316,0.05692565888304705,62.63378537464372
160,14.5,3.92434960363461e+18,1.8929726962821238e+20,3.92434960363461e+18,1.8579940044367527,0.08468197719092561,3.739768366359937,2.5682998899341825,6.666569997853358,700.8231710243343,1121.3231710243344,156.39424090116418,0.06459163911426472,0.005547527762257832,0.07013916687652255,1238.1440356627013,1.1041927791408122,2360.5713994661764,0.5249780746822942,0.7692281951804019,0.10786004165510385,0.05662415700324847,6.48606419559062e-17,12.13,1.504284675371545e-13,2.2965648457278404e-05,1.0445863264566169e-16,8.315,9.288717949173426e-17,9.447,1.367185378915519e-16,9.917,1.0066701324154107e-17,11.7,0.21286813566252985,0.18749989729227473,0.01188354339108848,0.010198306063712966,0.0016852373273755132,0.05692565888304705,61.77022500824212
150,14.5,3.77056668588333e+18,1.7963964357255738e+20,3.7705666858833306e+18,1.881070828346946,0.0814270432576429,3.4830911647815572,2.343587881306402,6.544861253074967,688.0285392295059,1108.528539229506,155.59069596000552,0.06425977085266922,0.005062149823621829,0.06932192067629105,1231.7825202350884,0.9880279969226159,2341.299087461517,0.5265327077748984,0.7659411966133124,0.11445958692216178,0.060266716232922186,7.062364601528726e-17,12.13,1.5252846004173764e-13,2.325491327631909e-05,1.1072501358355052e-16,8.315,9.90271099340666e-17,9.447,1.463255730328826e-16,9.917,1.0972585761926751e-17,11.7,0.21905550271021954,0.1922804383391091,0.012203720488090526,0.010469498929822556,0.0017342215582679685,0.05692565888304705,60.777694512009475
140,14.5,3.614427943424471e+18,1.6978492785708633e+20,3.614427943424472e+18,1.9019906224270902,0.07809631518678031,3.2288496160208013,2.1244184830472808,6.393896549931462,672.158374811545,1092.658374811545,154.51545560350877,0.06381569096412769,0.004588743923382127,0.06840443488750982,1223.2700428789587,0.87712000754842,2316.805537698052,0.5283771740734028,0.761731635825756,0.12178777633988033,0.0643498810991496,7.724924780337947e-17,12.13,1.5434662349093086e-13,2.3517140022621402e-05,1.172369097497933e-16,8.315,1.0552314281311018e-16,9.447,1.566481043935316e-16,9.917,1.2018945092619556e-17,11.7,0.22568771216464903,0.197400639119914,0.012546764553578655,0.010760037030052943,0.0017867275235257118,0.05692565888304705,59.58422185740577
130,14.5,3.4497515946582533e+18,1.5961358203206687e+20,3.449751594658253e+18,1.9270832539534288,0.07476180184426005,2.9798585230556065,1.9118772157781225,6.239237012978254,655.899790989339,1076.399790989339,153.24731577528615,0.06329194258529354,0.004129654786080745,0.06742159737137428,1213.2304163834253,0.7723311518330507,2290.4025385245973,0.5300390333645366,0.7572590766778955,0.13007964226273638,0.06894728784534551,8.519644765018134e-17,12.13,1.5652745305887413e-13,2.3831672713340375e-05,1.2504772329849827e-16,8.315,1.133149288504084e-16,9.447,1.690296543676629e-16,9.917,1.327402002445846e-17,11.7,0.23298853874996256,0.2030161198139295,0.012923603995106978,0.011079077189204069,0.001844526805902908,0.05692565888304705,58.397551963109436
120,14.5,3.27565818745721e+18,1.4908736790424253e+20,3.27565818745721e+18,1.957721394310434,0.07143353944628808,2.73645678346648,1.7062922202113546,6.080971220736677,639.2620995799432,1059.7620995799432,151.7618360041633,0.06267843167379811,0.0036855911956565264,0.06636402286945463,1201.4701500966655,0.6737645705296926,2261.9060142471385,0.531473857487983,0.752504996569252,0.13955362941536759,0.07416910575183387,9.489999046496767e-17,12.13,1.5919024919993323e-13,2.421571759579916e-05,1.345847382407703e-16,8.315,1.2282871117299638e-16,9.447,1.841475452730676e-16,9.917,1.4806468380059434e-17,11.7,0.24108394833454128,0.20921899484629117,0.013340560725507345,0.01143194407182208,0.0019086166536852645,0.05692565888304705,57.2181164316086
110,15.0,3.2031559464953467e+18,1.3600730511090829e+20,3.203155946495347e+18,2.0044115666155204,0.06915392693366891,2.5382422667141253,1.5069174982970848,5.756614528227148,647.6191344255542,1097.6191344255542,156.9640222571342,0.06482696179307174,0.003254941796321703,0.06808190358939344,1242.6548883863122,0.585465858344056,2340.8594886702103,0.5311042205916056,0.7421555508886272,0.15745891112524035,0.08362709226837367,1.0968744429581257e-16,12.13,1.632481459649026e-13,2.480097249462619e-05,1.4911841638644987e-16,8.315,1.3732698459098985e-16,9.447,2.0718604966785082e-16,9.917,1.71418019524607e-17,11.7,0.2520045198558497,0.21755051944134332,0.013901669311342848,0.011906596529751436,0.0019950727815914128,0.05692565888304705,55.82206360720391
100,15.0,3.0068274473836145e+18,1.2490212431658474e+20,3.0068274473836145e+18,2.040143026604283,0.06567922433600187,2.2996676546536565,1.3143415390677624,5.550521571379465,624.4336767801899,1074.43367678019,154.54668300443993,0.06382858804396768,0.0028389777243863668,0.06666756576835405,1223.5172643878159,0.49765218606502465,2298.448593354071,0.5325396095927929,0.7351176364317566,0.17053734531876036,0.09081789129704394,1.2494922848336458e-16,12.13,1.661521393579457e-13,2.524886143930646e-05,1.6220858721984972e-16,8.315,1.5065692691909942e-16,9.447,2.2881117177622125e-16,9.917,1.9569383821478742e-17,11.7,0.2619995943124319,0.22517089352579667,0.014415033904129891,0.012340831982276578,0.0020742019218533145,0.05692565888304705,54.30795208920013
90,15.0,2.7967622284263475e+18,1.1335940963200528e+20,2.7967622284263475e+18,2.0847467507001016,0.06222171417241957,2.06655699914341,1.1300819562593105,5.331462178664772,599.7894950997869,1049.789495099787,151.58857067560186,0.06260687218727888,0.002440977025520111,0.06504784921279899,1200.098440806673,0.416470842316035,2250.3044067487763,0.5334900060847698,0.7272031211154326,0.1858590694706484,0.09915395610280588,1.4476874379831025e-16,12.13,1.6973797703583564e-13,2.5807962996320058e-05,1.789322409125274e-16,8.315,1.6773185096501806e-16,9.447,2.565835891961939e-16,9.917,2.2724434497074542e-17,11.7,0.27331533762683463,0.23376858515846793,0.014995115326260593,0.01283132877511986,0.0021637865511407316,0.05692565888304705,52.76584142944868
80,15.5,2.655815323351628e+18,9.952668442844391e+19,2.655815323351628e+18,2.155286888566251,0.0595989495069062,1.8696562947632906,0.9503608452821302,4.962497416351237,596.1200021391924,1076.6200021391924,154.4128423601754,0.06377331115817356,0.0020527794258094014,0.06582609058398296,1222.4576729701876,0.34277687286037245,2299.4204519822406,0.5317863676427333,0.71274675157465,0.21298707053512128,0.11326362059473878,1.7625084919932252e-16,12.13,1.754030351263881e-13,2.669217393862152e-05,2.054387203579077e-16,8.315,1.9480228511658932e-16,9.447,3.0062804908674423e-16,9.917,2.773670486204613e-17,11.7,0.28834521286898546,0.2451410112947368,0.015763813459743738,0.013481038189577323,0.0022827752701664143,0.05692565888304705,51.01984358424272
70,16.0,2.4855357036543734e+18,8.562038851868677e+19,2.4855357036543734e+18,2.226879222587727,0.056726696866543816,1.6670351778330437,0.7781710748397609,4.542050534821423,581.3824684571422,1093.3824684571423,155.4865255491757,0.06421674792839828,0.0016808495216538834,0.06589759745005216,1230.9578225216799,0.27382462807360247,2324.6141156068957,0.5296499057127644,0.6942854554004766,0.24510633092963013,0.12982054506648022,2.1964175166802068e-16,12.13,1.8066361054591783e-13,2.758957401525318e-05,2.3717626968708824e-16,8.315,2.2781149065906126e-16,9.447,3.5552012894998643e-16,9.917,3.4699723132366065e-17,11.7,0.30521379970066365,0.25788853357029234,0.016625942172693288,0.014209621446790433,0.002416320725902855,0.05692565888304705,48.807615494189825
60,16.5,2.2695540238701857e+18,7.143960640656652e+19,2.2695540238701857e+18,2.329134517713143,0.053827149977117454,1.464907686273238,0.6160994660870088,4.121266008420713,561.0073353962696,1105.5073353962696,154.52211254622102,0.06381844031627003,0.0013307748467479388,0.06514921516301797,1223.3227446528053,0.21118117406317674,2329.041261223138,0.5253380204970296,0.6732702030513456,0.28418372100036365,0.1492925134478112,2.8540147747497235e-16,12.13,1.8804141368402964e-13,2.8871330098998312e-05,2.838723516712995e-16,8.315,2.765223263190743e-16,9.447,4.3688880652482307e-16,9.917,4.5272007301194e-17,11.7,0.3248123773567014,0.27264245887883365,0.017625461435636522,0.015053982425819425,0.0025714790098170987,0.05692565888304705,46.590276406509666
50,17.5,2.058128469890662e+18,5.593367055919131e+19,2.0581284698906621e+18,2.4748275002841003,0.05134403835954973,1.277900358053089,0.4601227832116308,3.5555207130926276,544.4391091923086,1156.9391091923085,155.49032208938038,0.06421831591935095,0.0009938652117371224,0.06521218113108808,1230.9878790223765,0.15403606833612088,2388.081024283021,0.5155360737646417,0.6399977421942421,0.3431572420240186,0.17690993723696546,4.0271607852120093e-16,12.13,1.9770524877730789e-13,3.069757163045406e-05,3.589263762788252e-16,8.315,3.556855389698002e-16,9.447,5.713365068563255e-16,9.917,6.42487165104046e-17,11.7,0.3496537258642096,0.2912924026410743,0.018890445816826792,0.016122302484109036,0.002768143332717757,0.05692565888304705,43.82053560994133
40,19.0,1.804651601383778e+18,3.996593845898434e+19,1.804651601383778e+18,2.6897002530808147,0.049093863269816296,1.0935488973587837,0.31436024441329274,2.8744639689174862,518.8407463896062,1240.8407463896062,154.54447337573674,0.06382767545576143,0.0006790181279327124,0.06450669358369414,1223.499771169497,0.10290699510423189,2464.4434245542075,0.4965026447648878,0.5896984750009021,0.42633726765955277,0.21167758095480382,6.358328064517319e-16,12.13,2.1017939545182727e-13,3.339097208263073e-05,4.878307860377846e-16,8.315,4.931094221785789e-16,9.447,8.102250084756552e-16,9.917,1.0230841484680206e-16,11.7,0.3801788125984411,0.3141337684532382,0.02044200621651627,0.01743220146544769,0.003009804751068578,0.05692565888304705,40.35554510852889
30,22.0,1.4937150105355779e+18,2.3499560760945955e+19,1.4937150105355784e+18,3.099016876464268,0.04768538922848374,0.9224316392698546,0.179537622747256,2.0152436814818593,487.6889709186099,1455.6889709186098,151.36502996991138,0.06251454870716792,0.0003878012651340729,0.062902349972302,1198.3287107329586,0.057923101898734765,2654.075604753467,0.4515269390549911,0.5018982261963529,0.5567549749012666,0.2513898696208073,1.272772213518577e-15,12.13,2.293824851550141e-13,3.852169975356731e-05,7.809927840148398e-16,8.315,8.075231942634143e-16,9.447,1.373402177145095e-15,9.917,2.0757240996841223e-16,11.7,0.4191076415518968,0.34311465577285394,0.022415109294871904,0.01909711226570969,0.0033179970291622135,0.05692565888304705,35.83514761573857
20,39.5,1.0386534110078794e+18,5.549474356764719e+18,1.0386534110078794e+18,4.99092849623401,0.052573951129689024,0.8781496396244344,0.04674475197381929,0.6547507729933395,510.78744678142897,3631.287446781429,151.3661184658877,0.06251499826169672,0.00010096866426344967,0.06261596692596016,1198.3373281525844,0.015835137658023107,4829.640610071671,0.24812470741429746,0.24663361233532344,0.8351384679552096,0.20721848801181103,7.698704587943161e-15,12.13,2.6710042778628225e-13,6.223655212941508e-05,2.6625102421567752e-15,8.315,2.7550364487688707e-15,9.447,5.141482622718888e-15,9.917,1.301522492609157e-15,11.7,0.4749491259258715,0.3842833645628978,0.02523023767092162,0.021470154025130837,0.0037600836457907807,0.05692565888304705,26.98723955523827
